NOM_LOGIQUE;LIBELLE;libelle long eq;NOM_STATION;libelle long station;MNEMONIQUE;Libelle (type eq.)
INGP-IMAG-00000000000003767137029-00-0G-IN-SA200;MIV_202;MIV_202 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004005136033-00-0J-IN-QX002;MIV_114;MIV_114 - Saint-Maur Créteil;R-SAINT-MAUR - CRETEIL;RER A - Saint-Maur Créteil;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004045137029-00-0G-IN-SA200;MIV_114;MIV_114 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004046137029-00-0G-IN-SA200;MIV_115;MIV_115 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004051137029-00-0G-IN-CR221;MIV_120;MIV_120 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004412136039-00-0G-IN-SA200;MIV_102;MIV_102 - La Varenne Chennevières;R-LA VARENNE - CHENNEVIER;RER A - La Varenne Chennevières;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004485136025-00-0G-IN-CR207;MIV_109;MIV_109 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004486136025-00-0G-IN-CR207;MIV_110;MIV_110 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004487136025-00-0G-IN-CR207;MIV_111;MIV_111 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004527109085-00-0G-IN-CR201;MIV_202;MIV_202 - Maraîchers;M-MARAICHERS;Ligne 9 - Maraîchers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004528109085-00-0G-IN-CR204;MIV_203;MIV_203 - Maraîchers;M-MARAICHERS;Ligne 9 - Maraîchers;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004531117033-00-0G-IN-SA200;MIV_201;MIV_201 - Botzaris;M-BOTZARIS;Ligne 7 - Botzaris;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004532117033-00-0G-IN-SA200;MIV_202;MIV_202 - Botzaris;M-BOTZARIS;Ligne 7 - Botzaris;IMAGE_V4;Afficheur IMAGE V4
